,PlayKey,time,event,x,y,dir,dis,o,s,PlayerKey,GameKey,PlayKeyID,dist_x,dist_y,true_dist,turn,turn_agg,true_speed,dir_o_diff,45_turn,180_turn,cumsum_45,cumsum_180
0,26624-1-1,0.0,huddle_start_offense,87.46,28.93,288.24,0.01,262.33,0.13,26624,1,1,,,,,,,25.910000000000025,0,0,0,0
1,26624-1-1,0.1,huddle_start_offense,87.45,28.92,283.91,0.01,261.69,0.12,26624,1,1,-0.009999999999990905,-0.00999999999999801,0.014142135623723113,-4.329999999999984,-4.329999999999984,0.14142135623723112,22.220000000000027,0,0,0,0
2,26624-1-1,0.2,huddle_start_offense,87.44,28.92,280.4,0.01,261.17,0.12,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-3.5100000000000477,-7.840000000000032,0.05000000000002558,19.22999999999996,0,0,0,0
3,26624-1-1,0.3,huddle_start_offense,87.44,28.92,278.79,0.01,260.66,0.1,26624,1,1,0.0,0.0,0.0,-1.6099999999999568,-9.449999999999989,0.0,18.129999999999995,0,0,0,0
4,26624-1-1,0.4,huddle_start_offense,87.44,28.92,275.44,0.01,260.27,0.09,26624,1,1,0.0,0.0,0.0,-3.3500000000000227,-12.800000000000011,0.0,15.170000000000016,0,0,0,0
5,26624-1-1,0.5,huddle_start_offense,87.45,28.92,270.06,0.01,260.08,0.07,26624,1,1,0.010000000000005116,0.0,0.010000000000005116,-5.3799999999999955,-18.180000000000007,0.020000000000010232,9.980000000000018,0,0,0,0
6,26624-1-1,0.6,huddle_start_offense,87.46,28.92,265.05,0.01,260.05,0.05,26624,1,1,0.009999999999990905,0.0,0.009999999999990905,-5.009999999999991,-18.860000000000014,0.01666666666665151,5.0,0,0,0,0
7,26624-1-1,0.7,huddle_start_offense,87.46,28.92,255.75,0.0,260.28,0.02,26624,1,1,0.0,0.0,0.0,-9.300000000000011,-24.649999999999977,0.0,-4.529999999999973,0,0,0,0
8,26624-1-1,0.8,huddle_start_offense,87.46,28.92,244.56,0.0,260.72,0.01,26624,1,1,0.0,0.0,0.0,-11.189999999999998,-34.23000000000002,0.0,-16.160000000000025,0,0,0,0
9,26624-1-1,0.9,huddle_start_offense,87.46,28.92,220.57,0.0,261.26,0.01,26624,1,1,0.0,0.0,0.0,-23.99000000000001,-54.870000000000005,0.0,-40.69,0,0,0,0
10,26624-1-1,1.0,huddle_start_offense,87.46,28.92,188.42,0.0,261.79,0.0,26624,1,1,0.0,0.0,0.0,-32.150000000000006,-81.64000000000001,0.0,-73.37000000000003,0,0,0,0
11,26624-1-1,1.1,huddle_start_offense,87.46,28.92,118.12,0.0,262.32,0.01,26624,1,1,0.0,0.0,0.0,-70.29999999999998,-146.93,0.0,-144.2,1,0,1,0
12,26624-1-1,1.2,huddle_start_offense,87.45,28.92,105.26,0.0,262.83,0.01,26624,1,1,-0.009999999999990905,0.0,0.009999999999990905,-12.86,-150.49,0.008333333333325754,-157.57,0,0,1,0
13,26624-1-1,1.3,huddle_start_offense,87.45,28.92,117.95,0.0,263.29,0.01,26624,1,1,0.0,0.0,0.0,12.689999999999998,-126.61,0.0,-145.34000000000003,0,0,1,0
14,26624-1-1,1.4,huddle_start_offense,87.45,28.92,177.22,0.0,263.72,0.0,26624,1,1,0.0,0.0,0.0,59.269999999999996,-43.349999999999994,0.0,-86.50000000000003,1,0,2,0
15,26624-1-1,1.5,huddle_start_offense,87.45,28.92,227.39,0.0,264.12,0.01,26624,1,1,0.0,0.0,0.0,50.16999999999999,38.97,0.0,-36.73000000000002,1,0,3,0
16,26624-1-1,1.6,huddle_start_offense,87.45,28.92,235.38,0.0,264.52,0.0,26624,1,1,0.0,0.0,0.0,7.990000000000009,117.25999999999999,0.0,-29.139999999999986,0,0,3,0
17,26624-1-1,1.7,huddle_start_offense,87.45,28.92,245.87,0.0,264.89,0.0,26624,1,1,0.0,0.0,0.0,10.490000000000009,140.61,0.0,-19.019999999999982,0,0,3,0
18,26624-1-1,1.8,huddle_start_offense,87.45,28.92,246.84,0.0,265.21,0.0,26624,1,1,0.0,0.0,0.0,0.9699999999999989,128.89,0.0,-18.369999999999976,0,0,3,0
19,26624-1-1,1.9,huddle_start_offense,87.45,28.92,219.7,0.0,265.49,0.0,26624,1,1,0.0,0.0,0.0,-27.140000000000015,42.47999999999999,0.0,-45.79000000000002,0,0,3,0
20,26624-1-1,2.0,huddle_start_offense,87.45,28.92,174.58,0.0,265.72,0.0,26624,1,1,0.0,0.0,0.0,-45.119999999999976,-52.809999999999974,0.0,-91.14000000000001,1,0,4,0
21,26624-1-1,2.1,huddle_start_offense,87.45,28.92,140.45,0.0,265.92,0.0,26624,1,1,0.0,0.0,0.0,-34.130000000000024,-94.93,0.0,-125.47000000000003,0,0,4,0
22,26624-1-1,2.2,huddle_start_offense,87.45,28.91,124.16,0.0,266.08,0.01,26624,1,1,0.0,-0.010000000000001563,0.010000000000001563,-16.289999999999992,-121.71000000000001,0.004545454545455256,-141.92,0,0,4,0
23,26624-1-1,2.3,huddle_start_offense,87.45,28.91,118.58,0.0,266.22,0.01,26624,1,1,0.0,0.0,0.0,-5.579999999999998,-128.26,0.0,-147.64000000000004,0,0,4,0
24,26624-1-1,2.4,huddle_start_offense,87.45,28.91,115.21,0.0,266.33,0.01,26624,1,1,0.0,0.0,0.0,-3.3700000000000045,-104.49,0.0,-151.12,0,0,4,0
25,26624-1-1,2.5,huddle_start_offense,87.45,28.91,111.46,0.0,266.41,0.01,26624,1,1,0.0,0.0,0.0,-3.75,-63.12000000000002,0.0,-154.95000000000005,0,0,4,0
26,26624-1-1,2.6,huddle_start_offense,87.45,28.91,107.99,0.0,266.48,0.01,26624,1,1,0.0,0.0,0.0,-3.469999999999999,-32.459999999999994,0.0,-158.49,0,0,4,0
27,26624-1-1,2.7,huddle_start_offense,87.45,28.91,105.14,0.0,266.53,0.01,26624,1,1,0.0,0.0,0.0,-2.8499999999999943,-19.019999999999996,0.0,-161.39,0,0,4,0
28,26624-1-1,2.8,huddle_start_offense,87.45,28.91,102.31,0.0,266.57,0.02,26624,1,1,0.0,0.0,0.0,-2.8299999999999983,-16.269999999999996,0.0,-164.26,0,0,4,0
29,26624-1-1,2.9,huddle_start_offense,87.46,28.91,99.76,0.0,266.6,0.02,26624,1,1,0.009999999999990905,0.0,0.009999999999990905,-2.549999999999997,-15.449999999999989,0.0034482758620658295,-166.84000000000003,0,0,4,0
30,26624-1-1,3.0,huddle_start_offense,87.46,28.91,96.47,0.0,266.64,0.02,26624,1,1,0.0,0.0,0.0,-3.2900000000000063,-14.989999999999995,0.0,-170.17,0,0,4,0
31,26624-1-1,3.1,huddle_start_offense,87.46,28.91,92.74,0.0,266.67,0.02,26624,1,1,0.0,0.0,0.0,-3.730000000000004,-15.25,0.0,-173.93,0,0,4,0
